Age,Gender,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake,Workout_Frequency,Experience_Level,BMI,rep_count,avg_depth_score,avg_form_score,tempo_consistency,stability_score,left_right_asymmetry,fatigue_slope,range_of_motion,knee_valgus_risk,back_angle_risk,movement_quality_score,readiness_score,injury_risk_score,strength_potential_score,endurance_potential_score
34.0,Female,86.7,1.86,174.0,152.0,74.0,1.12,712.0,Strength,12.8,2.4,5.0,Intermediate,14.31,16,0.5664,0.7822,0.6479,0.6275,0.2477,0.4074,0.5925,0.2644,0.2436,0.5977,0.5424,0.281,0.6379,0.5101
26.0,Female,84.7,1.83,166.0,156.0,73.0,1.0,833.0,Strength,27.9,2.8,5.0,Intermediate,33.49,18,0.7236,0.7897,0.6812,0.6084,0.2092,0.5262,0.6049,0.3985,0.2622,0.6317,0.5441,0.3374,0.6507,0.4817
22.0,Male,64.8,1.85,187.0,166.0,64.0,1.24,1678.0,Cardio,28.7,1.9,3.0,Intermediate,12.73,24,0.8324,0.6372,0.7503,0.816,0.2756,0.3647,0.7384,0.2446,0.3153,0.6807,0.6036,0.2988,0.6704,0.4828
54.0,Female,75.3,1.82,187.0,169.0,58.0,1.45,628.0,Cardio,31.8,2.4,4.0,Beginner,20.37,20,0.6012,0.4294,0.6495,0.7448,0.4342,0.6856,0.5368,0.3541,0.5343,0.4955,0.4608,0.4891,0.4818,0.4889
34.0,Female,52.8,1.74,177.0,169.0,66.0,1.6,1286.0,Strength,26.4,3.2,4.0,Intermediate,20.83,15,0.7757,0.7915,0.6282,0.7892,0.1465,0.3858,0.7718,0.1898,0.2903,0.6964,0.6602,0.2351,0.7232,0.5955
38.0,Female,53.0,1.58,161.0,128.0,74.0,1.62,953.0,Hiit,23.4,2.5,2.0,Intermediate,13.02,23,0.7033,0.7869,0.6161,0.8207,0.236,0.4248,0.6881,0.1736,0.3399,0.6668,0.5812,0.2683,0.6603,0.4623
44.0,Female,46.5,1.81,191.0,142.0,74.0,1.46,1238.0,Cardio,11.9,3.7,2.0,Intermediate,18.12,15,0.7311,0.6494,0.7945,0.6768,0.1423,0.4945,0.6694,0.2338,0.3913,0.64,0.5952,0.2984,0.6013,0.4532
50.0,Female,88.5,1.63,181.0,136.0,63.0,1.63,829.0,Strength,11.6,1.8,4.0,Intermediate,19.16,17,0.7365,0.6946,0.7254,0.6629,0.2404,0.4783,0.6939,0.2444,0.3871,0.6366,0.5769,0.3177,0.657,0.5478
18.0,Female,82.9,1.54,174.0,169.0,64.0,0.77,802.0,Hiit,27.8,2.2,3.0,Beginner,49.84,15,0.6571,0.5872,0.666,0.3322,0.4142,0.474,0.447,0.6063,0.4382,0.4806,0.4134,0.4872,0.4607,0.3591
34.0,Female,65.9,1.74,195.0,169.0,73.0,2.0,1231.0,Yoga,30.5,3.2,5.0,Intermediate,12.32,29,0.8905,0.8396,0.8526,0.7352,0.2001,0.3836,0.7789,0.2132,0.3293,0.7613,0.6711,0.2561,0.8153,0.7035
