feature,importance
movement_quality_score,0.383072
Experience_Level=Beginner,0.188019
Water_Intake,0.079867
Session_Duration,0.062446
Workout_Frequency,0.047227
Resting_BPM,0.04583
Experience_Level=Advanced,0.043206
fatigue_slope,0.038633
knee_valgus_risk,0.01872
Experience_Level=Intermediate,0.017574
back_angle_risk,0.017516
left_right_asymmetry,0.008999
range_of_motion,0.004432
BMI,0.004087
Avg_BPM,0.003954
tempo_consistency,0.003552
avg_form_score,0.003303
Max_BPM,0.003198
avg_depth_score,0.003112
stability_score,0.003078
rep_count,0.003002
Weight,0.002815
Fat_Percentage,0.002753
Calories_Burned,0.002725
Height,0.002723
Age,0.002699
Workout_Type=Strength,0.00067
Workout_Type=Yoga,0.000589
Gender=Female,0.000523
Workout_Type=Cardio,0.000502
Gender=Male,0.0005
Workout_Type=Hiit,0.000443
Gender=,0.000102
Workout_Type=,7.9e-05
Workout_Type=\Nstrength,2.5e-05
Workout_Type=\Tcardio,1.3e-05
Workout_Type=\Tyoga,1.2e-05
